	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
GPD1|2819	turquoise	-0.123414763680446	0.0779053070608539	-0.774357486609652	3.21521969005991e-42	0.513496663005247	3.45717091493765e-15	-0.210432565961912	0.00245773600275292	0.903501071567322	1.24430880591758e-76
PCK1|5105	turquoise	-0.123227663793799	0.0783606567893685	-0.731923777611761	1.14884558686079e-35	0.446314557100832	1.98496404341575e-11	-0.151732647202489	0.029871730472049	0.880156481819745	1.29583794019827e-67
KLF15|28999	turquoise	-0.123128686682631	0.0786024080831763	-0.841867642183701	2.79178694445118e-56	0.59930735107563	2.24259895183715e-21	-0.305124666377376	8.6450855746519e-06	0.867226616354435	2.14336598099849e-63
PI16|221476	turquoise	-0.122737471360795	0.0795638526703949	-0.722444661530832	2.26809713350589e-34	0.577894900103548	1.16626052773519e-19	-0.165585160600777	0.017657424580106	0.860467896822755	2.30812560328361e-61
CCL23|6368	turquoise	0.122352489066775	0.0805192211593192	-0.543008345287175	4.05501086174204e-17	0.415724180777437	5.69234825778734e-10	-0.113559974844341	0.104966604495281	0.726049004460054	7.40458210025702e-35
RELN|5649	turquoise	-0.122140166548003	0.0810500626500683	-0.716891569488714	1.2297956911713e-33	0.785588043208601	3.37854838037066e-44	-0.206687392128557	0.00294528597106895	0.796321675932011	3.33611068558341e-46
LGI4|163175	turquoise	-0.121521408367781	0.0826131598288218	-0.811881580337394	2.46621329655527e-49	0.551743440917659	9.98580380221393e-18	-0.209391001966858	0.00258538478541562	0.917750916696944	2.36454700803857e-83
NAALAD2|10003	turquoise	0.12053791291459	0.0851474749297019	-0.790311334236265	4.57827407036797e-45	0.526810048654223	4.90833894722616e-16	-0.21173492968005	0.00230618827403657	0.907580721975151	1.91971850427438e-78
C20orf151|140893	turquoise	0.120491420097215	0.0852688073549005	0.548035231205863	1.81934689936227e-17	-0.0217968354796886	0.756399939486805	0.183648021219449	0.00839349084895762	-0.697652968700229	3.18277460924547e-31
PTRF|284119	turquoise	-0.120365984520709	0.0855968491538154	-0.738672863590932	1.2699903608174e-36	0.528003923828865	4.10280546915318e-16	-0.163893983052015	0.018866602486607	0.888300493729958	1.57381029805901e-70
EPN3|55040	turquoise	-0.118787141455981	0.0898130529812026	0.628466757859665	6.2590715305513e-24	-0.195511861192325	0.00496415950572139	0.222744021650656	0.00132673073168972	-0.74507456625486	1.47513641317435e-37
KLHL29|114818	turquoise	-0.117287093527241	0.0939710069659755	-0.834959944823398	1.47399105644395e-54	0.844606932961504	5.49169137541276e-57	-0.217810676862411	0.00170536041347702	0.866967351346864	2.57688920125928e-63
KCNK3|3777	turquoise	0.1162027036102	0.0970711342967438	-0.387783362698918	9.21175872725587e-09	0.425514563428972	2.01641069164722e-10	-0.126428132746002	0.070861845782393	0.451279358686732	1.11473422017307e-11
NRN1|51299	turquoise	-0.116093140223817	0.0973888243870938	-0.731421895532109	1.34967095626e-35	0.500807141795274	2.05630104063792e-14	-0.141076002647257	0.0436275299906624	0.881711534643797	3.73692011083155e-68
KIF25|3834	turquoise	0.115825573403611	0.0981681289687336	-0.606730395807043	5.31357190276928e-22	0.304837690304221	8.82368790161052e-06	-0.233167104392794	0.00076674990942516	0.702321985977014	8.60994350216045e-32
IQSEC3|440073	turquoise	-0.115128802832348	0.100220727608235	-0.720155486065268	4.57575838871576e-34	0.525939947044159	5.59090421977295e-16	-0.151375953550688	0.0302636997453498	0.886446670923409	7.58814986983651e-70
LRRC2|79442	turquoise	-0.114933170670891	0.100803100730611	-0.762684548397776	2.79327709554465e-40	0.662707887930557	2.68607201523813e-27	-0.227125135653258	0.00105677350773572	0.893641683644105	1.44208505354414e-72
CUBN|8029	turquoise	0.114888531844435	0.100936359398467	-0.726460201798298	6.50945528654569e-35	0.53978506019313	6.73193086536736e-17	-0.217924666523626	0.00169559943716381	0.86622009787227	4.37251247918729e-63
FXYD3|5349	turquoise	0.11479997329292	0.101201142353149	0.493904512292915	5.26066504889176e-14	0.0135810215799322	0.846747100327758	0.157388982864169	0.0242117125811252	-0.595439244658672	4.6799634930273e-21
MT1M|4499	turquoise	-0.114595164329288	0.101815608394909	-0.733928367845197	6.01484662083757e-36	0.639465244001751	5.77083691951952e-25	-0.237659519215032	0.000600797866251566	0.828894780308532	4.13593748651886e-53
RGS7BP|401190	turquoise	0.114509753221778	0.102072727512323	-0.687729909051558	4.72055671567537e-30	0.546211879171283	2.43693396391792e-17	-0.1944191569685	0.00521665728284456	0.751727254568354	1.46935928438761e-38
MEG3|55384	turquoise	-0.11443401977891	0.102301142090802	-0.688916274297159	3.43910459307922e-30	0.682042568221188	2.11031936862193e-29	-0.137752845763785	0.0488772982069658	0.735049952500568	4.17703778571625e-36
CCDC141|285025	turquoise	-0.114426722340599	0.102323172714607	-0.654498518859151	1.88916407125034e-26	0.487452536567075	1.24210614613156e-13	-0.225823102411581	0.00113120026189076	0.778009477334964	7.52583793819752e-43
SLC25A18|83733	turquoise	0.114131017553541	0.103219048140549	-0.551799284489091	9.89543369563839e-18	0.241670584325832	0.00048134704422419	-0.126764508776968	0.0701088276148264	0.641675114881985	3.53289392601924e-25
CNKSR2|22866	turquoise	0.113000137004358	0.106702419073608	-0.691059433361249	1.93323994977457e-30	0.575699055045299	1.72082102037549e-19	-0.287571541848144	2.90387155406469e-05	0.815813158570548	3.58491493683703e-50
NMNAT2|23057	turquoise	0.11240514857942	0.108571889915917	-0.631845291537259	3.04027259574577e-24	0.433823298351271	8.13904128339365e-11	-0.363818081501324	8.22482650335977e-08	0.7772616179727	1.01548728874313e-42
HHATL|57467	turquoise	-0.112081900992075	0.109598272950695	-0.622045541271402	2.41015938620009e-23	0.625105286612122	1.27270880732342e-23	-0.0972941469913309	0.165192812213421	0.621634459350144	2.62464974744138e-23
WHAMML2|440253	turquoise	-0.111752940193507	0.110650596970641	-0.780759101176819	2.47604431061087e-43	0.535471562288392	1.31549655094081e-16	-0.19557286056426	0.00495039287504009	0.845951937089192	2.44315890121624e-57
TMEM195|392636	turquoise	-0.111291012102052	0.112141624113336	-0.738035316171533	1.56824211342573e-36	0.424255044489875	2.30874958830549e-10	-0.267006101220582	0.000108805750681554	0.888641790042359	1.17451733434776e-70
MYOC|4653	turquoise	-0.110886877876783	0.113458960591313	-0.79127526273573	3.02554106083043e-45	0.447984995027784	1.63641875991188e-11	-0.17295872039388	0.0131393974871397	0.913698527793611	2.52607635184918e-81
RHOU|58480	turquoise	-0.110500275292368	0.114730443681619	-0.614213880318225	1.19711704270112e-22	0.648042071408496	8.39979013591893e-26	-0.167987231484589	0.0160560677167702	0.66668921079707	1.01995335516194e-27
MAP1LC3C|440738	turquoise	-0.109193047978705	0.119112296133688	-0.781543269680523	1.79799154933798e-43	0.566686365897525	8.24258099772573e-19	-0.225968189814134	0.00112267492588775	0.934717806576336	3.71557626865315e-93
NIPSNAP3B|55335	turquoise	0.109164188557353	0.119210482023567	-0.812481646959432	1.84278830453438e-49	0.512292433296825	4.10766651724977e-15	-0.281690484433087	4.28227142403573e-05	0.885055023391326	2.42787695199951e-69
SYT15|83849	turquoise	0.109095562322473	0.11944421591869	-0.643425075475438	2.38853666421075e-25	0.583646085522012	4.15200729992456e-20	-0.186259670074429	0.00749600228652406	0.791123410303855	3.23002855671169e-45
C2orf84|653140	turquoise	0.108644341150278	0.120989914850614	-0.686719687818522	6.17448669240353e-30	0.300277823804618	1.21761681379139e-05	-0.235521320302316	0.000675139417404023	0.827805485485468	7.42359048479634e-53
FAM89A|375061	turquoise	0.108268869488984	0.122287930551335	-0.667517568732113	8.32276441576466e-28	0.377488862816662	2.41098558443378e-08	-0.227101154625735	0.00105810265850234	0.852955827724672	3.16372318238796e-59
CPEB1|64506	turquoise	-0.108084709344796	0.122928513011237	-0.645005802145664	1.67348015414519e-25	0.547816337467632	1.88449094442899e-17	-0.139676446562913	0.0457778392479454	0.732737532030136	8.84060416913713e-36
PTGFR|5737	turquoise	0.107686057045563	0.124324093239033	-0.687148094654112	5.51072525084849e-30	0.606999417813623	5.0398135054481e-22	-0.179027259183387	0.0102171999901458	0.858076821626174	1.13959482459864e-60
ESM1|11082	turquoise	-0.106451132872908	0.128725181193718	0.74558330538708	1.23974505799404e-37	-0.557891180376512	3.63301974221453e-18	0.220456096388223	0.00149155860170161	-0.78796191218281	1.24520314418749e-44
ADAMTS18|170692	turquoise	-0.105427984208409	0.132461751733437	-0.630655992836844	3.92413624732202e-24	0.491414472335944	7.34460908893283e-14	-0.069174296227707	0.324353928721544	0.735149556564084	4.04358338624436e-36
LOC283392|283392	turquoise	-0.104989631791683	0.134087915604082	-0.803240404874532	1.46417711499563e-47	0.482112846743605	2.49509465171108e-13	-0.209664176150886	0.00255133643889993	0.928609720151595	2.37768919288506e-89
CSF3|1440	turquoise	0.104910964974964	0.134381362387389	-0.579328757769594	9.03220752118455e-20	0.453358843468792	8.72987808358451e-12	-0.192561079854598	0.00567255896748957	0.656533490489508	1.17148223345028e-26
SLC29A4|222962	turquoise	0.103878454615223	0.138278714110019	-0.531813326880721	2.30466367085667e-16	0.275148718140823	6.53024052209161e-05	-0.132579948038635	0.0580894122829243	0.750322256649974	2.4060869498106e-38
ALDH3A1|218	turquoise	0.103696519163481	0.138974324271447	-0.528286977345611	3.93167676141061e-16	0.672340680963555	2.51411462761383e-28	-0.209285270629082	0.0025986734277006	0.55276540037438	8.45303405579744e-18
PTH2R|5746	turquoise	0.103631488427209	0.139223609976696	-0.52163485226708	1.05900573633744e-15	0.572663900853862	2.93208467000942e-19	-0.150059389357504	0.0317486643927418	0.569873700875481	4.76256868692964e-19
SCT|6343	turquoise	-0.103499547846267	0.139730434486581	0.712812625141226	4.1494162279009e-33	-0.556292713053571	4.73493206249224e-18	0.264389514241139	0.000127766444210317	-0.657149328439319	1.01301004861503e-26
MT1L|4500	turquoise	0.102939530764133	0.14189733062877	-0.667844667747749	7.67921614295752e-28	0.547630228418991	1.94167031452523e-17	-0.188488861049011	0.00679861043532556	0.709800099651275	1.0050381266204e-32
GPT|2875	turquoise	0.101882519026092	0.146056952711421	-0.53541112535981	1.32781263660776e-16	0.33528364673695	8.91615625170626e-07	-0.210425521983079	0.0024585796999186	0.603122553029371	1.0749057490467e-21
